Accession,Description,trt,measurement
AT1G01620,| Symbols: PIP1C  TMP-B  PIP1;3 | plasma membrane intrinsic protein 1C | chr1:225986-227176 REVERSE LENGTH=286,2,12.054
AT1G01620,| Symbols: PIP1C  TMP-B  PIP1;3 | plasma membrane intrinsic protein 1C | chr1:225986-227176 REVERSE LENGTH=286,6,13
AT1G01620,| Symbols: PIP1C  TMP-B  PIP1;3 | plasma membrane intrinsic protein 1C | chr1:225986-227176 REVERSE LENGTH=286,6,14
AT1G01620,| Symbols: PIP1C  TMP-B  PIP1;3 | plasma membrane intrinsic protein 1C | chr1:225986-227176 REVERSE LENGTH=286,6,13
AT1G01900,| Symbols: ATSBT1.1  SBTI1.1 | subtilase family protein | chr1:310332-313011 FORWARD LENGTH=774,2,88.683
AT1G01900,| Symbols: ATSBT1.1  SBTI1.1 | subtilase family protein | chr1:310332-313011 FORWARD LENGTH=774,2,88.683
AT1G01900,| Symbols: ATSBT1.1  SBTI1.1 | subtilase family protein | chr1:310332-313011 FORWARD LENGTH=774,2,93.849
AT1G01900,| Symbols: ATSBT1.1  SBTI1.1 | subtilase family protein | chr1:310332-313011 FORWARD LENGTH=774,6,102
AT1G01900,| Symbols: ATSBT1.1  SBTI1.1 | subtilase family protein | chr1:310332-313011 FORWARD LENGTH=774,6,96
AT1G01900,| Symbols: ATSBT1.1  SBTI1.1 | subtilase family protein | chr1:310332-313011 FORWARD LENGTH=774,6,91
AT1G02305,| Symbols:  | Cysteine proteinases superfamily protein | chr1:455816-457974 FORWARD LENGTH=362,2,11.193
AT1G02305,| Symbols:  | Cysteine proteinases superfamily protein | chr1:455816-457974 FORWARD LENGTH=362,2,10.332
AT1G02305,| Symbols:  | Cysteine proteinases superfamily protein | chr1:455816-457974 FORWARD LENGTH=362,2,17.22
AT1G02305,| Symbols:  | Cysteine proteinases superfamily protein | chr1:455816-457974 FORWARD LENGTH=362,6,19
AT1G02305,| Symbols:  | Cysteine proteinases superfamily protein | chr1:455816-457974 FORWARD LENGTH=362,6,18
AT1G02305,| Symbols:  | Cysteine proteinases superfamily protein | chr1:455816-457974 FORWARD LENGTH=362,6,19
AT1G02500,| Symbols: SAM1  SAM-1  MAT1  AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393,2,10.332
AT1G02500,| Symbols: SAM1  SAM-1  MAT1  AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393,2,13.776
AT1G02500,| Symbols: SAM1  SAM-1  MAT1  AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393,2,8.61
AT1G02500,| Symbols: SAM1  SAM-1  MAT1  AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393,6,10
AT1G02500,| Symbols: SAM1  SAM-1  MAT1  AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393,6,8
AT1G02500,| Symbols: SAM1  SAM-1  MAT1  AtSAM1 | S-adenosylmethionine synthetase 1 | chr1:519037-520218 FORWARD LENGTH=393,6,8
AT1G02560,| Symbols: CLPP5  NCLPP5  NCLPP1 | nuclear encoded CLP protease 5 | chr1:538000-539805 FORWARD LENGTH=298,2,11.193
AT1G02560,| Symbols: CLPP5  NCLPP5  NCLPP1 | nuclear encoded CLP protease 5 | chr1:538000-539805 FORWARD LENGTH=298,2,8.61
AT1G02560,| Symbols: CLPP5  NCLPP5  NCLPP1 | nuclear encoded CLP protease 5 | chr1:538000-539805 FORWARD LENGTH=298,2,11.193
AT1G02560,| Symbols: CLPP5  NCLPP5  NCLPP1 | nuclear encoded CLP protease 5 | chr1:538000-539805 FORWARD LENGTH=298,6,9
AT1G02560,| Symbols: CLPP5  NCLPP5  NCLPP1 | nuclear encoded CLP protease 5 | chr1:538000-539805 FORWARD LENGTH=298,6,10
AT1G02560,| Symbols: CLPP5  NCLPP5  NCLPP1 | nuclear encoded CLP protease 5 | chr1:538000-539805 FORWARD LENGTH=298,6,11
AT1G02700,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02140.1); Has 49 Blast hits to ...,2,17.22
AT1G02700,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02140.1); Has 49 Blast hits to ...,2,22.386
AT1G02700,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02140.1); Has 49 Blast hits to ...,2,19.803
AT1G02700,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02140.1); Has 49 Blast hits to ...,6,23
AT1G02700,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02140.1); Has 49 Blast hits to ...,6,32
AT1G02700,| Symbols:  | unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02140.1); Has 49 Blast hits to ...,6,28
AT1G02780,| Symbols: emb2386 | Ribosomal protein L19e family protein | chr1:608120-609391 REVERSE LENGTH=214,2,7.749
AT1G02780,| Symbols: emb2386 | Ribosomal protein L19e family protein | chr1:608120-609391 REVERSE LENGTH=214,2,12.915
AT1G02780,| Symbols: emb2386 | Ribosomal protein L19e family protein | chr1:608120-609391 REVERSE LENGTH=214,2,12.054
AT1G02780,| Symbols: emb2386 | Ribosomal protein L19e family protein | chr1:608120-609391 REVERSE LENGTH=214,6,9
AT1G02780,| Symbols: emb2386 | Ribosomal protein L19e family protein | chr1:608120-609391 REVERSE LENGTH=214,6,11
AT1G02780,| Symbols: emb2386 | Ribosomal protein L19e family protein | chr1:608120-609391 REVERSE LENGTH=214,6,12
AT1G02816,| Symbols:  | Protein of unknown function  DUF538 | chr1:621637-622137 FORWARD LENGTH=166,2,7.749
AT1G02816,| Symbols:  | Protein of unknown function  DUF538 | chr1:621637-622137 FORWARD LENGTH=166,2,9.471
AT1G02816,| Symbols:  | Protein of unknown function  DUF538 | chr1:621637-622137 FORWARD LENGTH=166,2,11.193
AT1G02816,| Symbols:  | Protein of unknown function  DUF538 | chr1:621637-622137 FORWARD LENGTH=166,6,9
AT1G02816,| Symbols:  | Protein of unknown function  DUF538 | chr1:621637-622137 FORWARD LENGTH=166,6,10
AT1G02816,| Symbols:  | Protein of unknown function  DUF538 | chr1:621637-622137 FORWARD LENGTH=166,6,14
AT1G02930,| Symbols: ATGSTF6  GST1  ERD11  ATGSTF3  GSTF6  ATGST1 | glutathione S-transferase 6 | chr1:661363-662191 REVERSE LENGTH=208,2,21.525
AT1G02930,| Symbols: ATGSTF6  GST1  ERD11  ATGSTF3  GSTF6  ATGST1 | glutathione S-transferase 6 | chr1:661363-662191 REVERSE LENGTH=208,2,15.498
AT1G02930,| Symbols: ATGSTF6  GST1  ERD11  ATGSTF3  GSTF6  ATGST1 | glutathione S-transferase 6 | chr1:661363-662191 REVERSE LENGTH=208,2,18.942
AT1G02930,| Symbols: ATGSTF6  GST1  ERD11  ATGSTF3  GSTF6  ATGST1 | glutathione S-transferase 6 | chr1:661363-662191 REVERSE LENGTH=208,6,7
AT1G02930,| Symbols: ATGSTF6  GST1  ERD11  ATGSTF3  GSTF6  ATGST1 | glutathione S-transferase 6 | chr1:661363-662191 REVERSE LENGTH=208,6,7
AT1G02930,| Symbols: ATGSTF6  GST1  ERD11  ATGSTF3  GSTF6  ATGST1 | glutathione S-transferase 6 | chr1:661363-662191 REVERSE LENGTH=208,6,6
AT1G03030,| Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:701621-703568 FORWARD LENGTH=301,2,12.915
AT1G03030,| Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:701621-703568 FORWARD LENGTH=301,2,13.776
AT1G03030,| Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:701621-703568 FORWARD LENGTH=301,2,7.749
AT1G03030,| Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:701621-703568 FORWARD LENGTH=301,6,8
AT1G03030,| Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:701621-703568 FORWARD LENGTH=301,6,9
AT1G03030,| Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:701621-703568 FORWARD LENGTH=301,6,11
AT1G03090,| Symbols: MCCA | methylcrotonyl-CoA carboxylase alpha chain  mitochondrial / 3-methylcrotonyl-CoA carboxylase 1 (MCCA) | chr1:739715-743819 FORWARD LENGTH=734,2,21.525
AT1G03090,| Symbols: MCCA | methylcrotonyl-CoA carboxylase alpha chain  mitochondrial / 3-methylcrotonyl-CoA carboxylase 1 (MCCA) | chr1:739715-743819 FORWARD LENGTH=734,2,14.637
AT1G03090,| Symbols: MCCA | methylcrotonyl-CoA carboxylase alpha chain  mitochondrial / 3-methylcrotonyl-CoA carboxylase 1 (MCCA) | chr1:739715-743819 FORWARD LENGTH=734,2,19.803
AT1G03090,| Symbols: MCCA | methylcrotonyl-CoA carboxylase alpha chain  mitochondrial / 3-methylcrotonyl-CoA carboxylase 1 (MCCA) | chr1:739715-743819 FORWARD LENGTH=734,6,18
AT1G03090,| Symbols: MCCA | methylcrotonyl-CoA carboxylase alpha chain  mitochondrial / 3-methylcrotonyl-CoA carboxylase 1 (MCCA) | chr1:739715-743819 FORWARD LENGTH=734,6,11
AT1G03090,| Symbols: MCCA | methylcrotonyl-CoA carboxylase alpha chain  mitochondrial / 3-methylcrotonyl-CoA carboxylase 1 (MCCA) | chr1:739715-743819 FORWARD LENGTH=734,6,20
AT1G03220,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:787143-788444 FORWARD LENGTH=433,2,10.332
AT1G03220,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:787143-788444 FORWARD LENGTH=433,2,10.332
AT1G03220,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:787143-788444 FORWARD LENGTH=433,2,6.888
AT1G03220,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:787143-788444 FORWARD LENGTH=433,6,8
AT1G03220,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:787143-788444 FORWARD LENGTH=433,6,6
AT1G03220,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:787143-788444 FORWARD LENGTH=433,6,6
AT1G03230,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:790110-791414 FORWARD LENGTH=434,2,18.942
AT1G03230,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:790110-791414 FORWARD LENGTH=434,2,17.22
AT1G03230,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:790110-791414 FORWARD LENGTH=434,2,11.193
AT1G03230,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:790110-791414 FORWARD LENGTH=434,6,8
AT1G03230,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:790110-791414 FORWARD LENGTH=434,6,12
AT1G03230,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:790110-791414 FORWARD LENGTH=434,6,12
AT1G03475,| Symbols: LIN2  HEMF1  ATCPO-I | Coproporphyrinogen III oxidase | chr1:869302-871175 REVERSE LENGTH=386,2,23.247
AT1G03475,| Symbols: LIN2  HEMF1  ATCPO-I | Coproporphyrinogen III oxidase | chr1:869302-871175 REVERSE LENGTH=386,2,21.525
AT1G03475,| Symbols: LIN2  HEMF1  ATCPO-I | Coproporphyrinogen III oxidase | chr1:869302-871175 REVERSE LENGTH=386,2,20.664
AT1G03475,| Symbols: LIN2  HEMF1  ATCPO-I | Coproporphyrinogen III oxidase | chr1:869302-871175 REVERSE LENGTH=386,6,21
AT1G03475,| Symbols: LIN2  HEMF1  ATCPO-I | Coproporphyrinogen III oxidase | chr1:869302-871175 REVERSE LENGTH=386,6,24
AT1G03475,| Symbols: LIN2  HEMF1  ATCPO-I | Coproporphyrinogen III oxidase | chr1:869302-871175 REVERSE LENGTH=386,6,20
AT1G03880,| Symbols: CRU2  CRB | cruciferin 2 | chr1:985786-987916 FORWARD LENGTH=455,2,2782.752
AT1G03880,| Symbols: CRU2  CRB | cruciferin 2 | chr1:985786-987916 FORWARD LENGTH=455,2,2807.721
AT1G03880,| Symbols: CRU2  CRB | cruciferin 2 | chr1:985786-987916 FORWARD LENGTH=455,2,2662.212
AT1G03880,| Symbols: CRU2  CRB | cruciferin 2 | chr1:985786-987916 FORWARD LENGTH=455,6,3603
AT1G03880,| Symbols: CRU2  CRB | cruciferin 2 | chr1:985786-987916 FORWARD LENGTH=455,6,4006
AT1G03880,| Symbols: CRU2  CRB | cruciferin 2 | chr1:985786-987916 FORWARD LENGTH=455,6,4031
AT1G03890,| Symbols:  | RmlC-like cupins superfamily protein | chr1:989250-990908 FORWARD LENGTH=451,2,557.067
AT1G03890,| Symbols:  | RmlC-like cupins superfamily protein | chr1:989250-990908 FORWARD LENGTH=451,2,527.793
AT1G03890,| Symbols:  | RmlC-like cupins superfamily protein | chr1:989250-990908 FORWARD LENGTH=451,2,495.936
AT1G03890,| Symbols:  | RmlC-like cupins superfamily protein | chr1:989250-990908 FORWARD LENGTH=451,6,770
AT1G03890,| Symbols:  | RmlC-like cupins superfamily protein | chr1:989250-990908 FORWARD LENGTH=451,6,813
AT1G03890,| Symbols:  | RmlC-like cupins superfamily protein | chr1:989250-990908 FORWARD LENGTH=451,6,796
AT1G04170,| Symbols: EIF2 GAMMA | eukaryotic translation initiation factor 2 gamma subunit | chr1:1097423-1099702 FORWARD LENGTH=465,2,26.691
AT1G04170,| Symbols: EIF2 GAMMA | eukaryotic translation initiation factor 2 gamma subunit | chr1:1097423-1099702 FORWARD LENGTH=465,2,21.525
AT1G04170,| Symbols: EIF2 GAMMA | eukaryotic translation initiation factor 2 gamma subunit | chr1:1097423-1099702 FORWARD LENGTH=465,2,22.386
AT1G04170,| Symbols: EIF2 GAMMA | eukaryotic translation initiation factor 2 gamma subunit | chr1:1097423-1099702 FORWARD LENGTH=465,6,14
AT1G04170,| Symbols: EIF2 GAMMA | eukaryotic translation initiation factor 2 gamma subunit | chr1:1097423-1099702 FORWARD LENGTH=465,6,18
AT1G04170,| Symbols: EIF2 GAMMA | eukaryotic translation initiation factor 2 gamma subunit | chr1:1097423-1099702 FORWARD LENGTH=465,6,13
AT1G04270,| Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=152,2,40.467
AT1G04270,| Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=152,2,42.189
AT1G04270,| Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=152,2,26.691
AT1G04270,| Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=152,6,24
AT1G04270,| Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=152,6,31
AT1G04270,| Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=152,6,22
AT1G04410,| Symbols:  | Lactate/malate dehydrogenase family protein | chr1:1189418-1191267 REVERSE LENGTH=332,2,142.065
AT1G04410,| Symbols:  | Lactate/malate dehydrogenase family protein | chr1:1189418-1191267 REVERSE LENGTH=332,2,153.258
AT1G04410,| Symbols:  | Lactate/malate dehydrogenase family protein | chr1:1189418-1191267 REVERSE LENGTH=332,2,141.204
AT1G04410,| Symbols:  | Lactate/malate dehydrogenase family protein | chr1:1189418-1191267 REVERSE LENGTH=332,6,87
AT1G04410,| Symbols:  | Lactate/malate dehydrogenase family protein | chr1:1189418-1191267 REVERSE LENGTH=332,6,114
AT1G04410,| Symbols:  | Lactate/malate dehydrogenase family protein | chr1:1189418-1191267 REVERSE LENGTH=332,6,101
AT1G04480,| Symbols:  | Ribosomal protein L14p/L23e family protein | chr1:1216110-1217257 FORWARD LENGTH=140,2,48.216
AT1G04480,| Symbols:  | Ribosomal protein L14p/L23e family protein | chr1:1216110-1217257 FORWARD LENGTH=140,2,68.019
AT1G04480,| Symbols:  | Ribosomal protein L14p/L23e family protein | chr1:1216110-1217257 FORWARD LENGTH=140,2,56.826
AT1G04480,| Symbols:  | Ribosomal protein L14p/L23e family protein | chr1:1216110-1217257 FORWARD LENGTH=140,6,55
AT1G04480,| Symbols:  | Ribosomal protein L14p/L23e family protein | chr1:1216110-1217257 FORWARD LENGTH=140,6,45
AT1G04480,| Symbols:  | Ribosomal protein L14p/L23e family protein | chr1:1216110-1217257 FORWARD LENGTH=140,6,44
AT1G04510,| Symbols: MAC3A | MOS4-associated  complex 3A | chr1:1226749-1230592 FORWARD LENGTH=523,2,7.749
AT1G04510,| Symbols: MAC3A | MOS4-associated  complex 3A | chr1:1226749-1230592 FORWARD LENGTH=523,2,5.166
AT1G04510,| Symbols: MAC3A | MOS4-associated  complex 3A | chr1:1226749-1230592 FORWARD LENGTH=523,2,6.888
AT1G04510,| Symbols: MAC3A | MOS4-associated  complex 3A | chr1:1226749-1230592 FORWARD LENGTH=523,6,5
AT1G04510,| Symbols: MAC3A | MOS4-associated  complex 3A | chr1:1226749-1230592 FORWARD LENGTH=523,6,5
AT1G04510,| Symbols: MAC3A | MOS4-associated  complex 3A | chr1:1226749-1230592 FORWARD LENGTH=523,6,7
AT1G04580,| Symbols: AAO4  ATAO-4  ATAO2  AO4 | aldehyde oxidase 4 | chr1:1252212-1257510 REVERSE LENGTH=1337,2,67.158
AT1G04580,| Symbols: AAO4  ATAO-4  ATAO2  AO4 | aldehyde oxidase 4 | chr1:1252212-1257510 REVERSE LENGTH=1337,2,42.189
AT1G04580,| Symbols: AAO4  ATAO-4  ATAO2  AO4 | aldehyde oxidase 4 | chr1:1252212-1257510 REVERSE LENGTH=1337,2,43.911
AT1G04580,| Symbols: AAO4  ATAO-4  ATAO2  AO4 | aldehyde oxidase 4 | chr1:1252212-1257510 REVERSE LENGTH=1337,6,31
AT1G04580,| Symbols: AAO4  ATAO-4  ATAO2  AO4 | aldehyde oxidase 4 | chr1:1252212-1257510 REVERSE LENGTH=1337,6,40
AT1G04580,| Symbols: AAO4  ATAO-4  ATAO2  AO4 | aldehyde oxidase 4 | chr1:1252212-1257510 REVERSE LENGTH=1337,6,34
AT1G04620,| Symbols:  | coenzyme F420 hydrogenase family / dehydrogenase  beta subunit family | chr1:1282869-1286492 REVERSE LENGTH=462,2,13.776
AT1G04620,| Symbols:  | coenzyme F420 hydrogenase family / dehydrogenase  beta subunit family | chr1:1282869-1286492 REVERSE LENGTH=462,2,9.471
AT1G04620,| Symbols:  | coenzyme F420 hydrogenase family / dehydrogenase  beta subunit family | chr1:1282869-1286492 REVERSE LENGTH=462,2,8.61
AT1G04620,| Symbols:  | coenzyme F420 hydrogenase family / dehydrogenase  beta subunit family | chr1:1282869-1286492 REVERSE LENGTH=462,6,11
AT1G04620,| Symbols:  | coenzyme F420 hydrogenase family / dehydrogenase  beta subunit family | chr1:1282869-1286492 REVERSE LENGTH=462,6,11
AT1G04620,| Symbols:  | coenzyme F420 hydrogenase family / dehydrogenase  beta subunit family | chr1:1282869-1286492 REVERSE LENGTH=462,6,7
AT1G04690,| Symbols: KAB1  KV-BETA1 | potassium channel beta subunit 1 | chr1:1313662-1315420 FORWARD LENGTH=328,2,29.274
AT1G04690,| Symbols: KAB1  KV-BETA1 | potassium channel beta subunit 1 | chr1:1313662-1315420 FORWARD LENGTH=328,2,29.274
AT1G04690,| Symbols: KAB1  KV-BETA1 | potassium channel beta subunit 1 | chr1:1313662-1315420 FORWARD LENGTH=328,2,22.386
AT1G04690,| Symbols: KAB1  KV-BETA1 | potassium channel beta subunit 1 | chr1:1313662-1315420 FORWARD LENGTH=328,6,23
AT1G04690,| Symbols: KAB1  KV-BETA1 | potassium channel beta subunit 1 | chr1:1313662-1315420 FORWARD LENGTH=328,6,23
AT1G04690,| Symbols: KAB1  KV-BETA1 | potassium channel beta subunit 1 | chr1:1313662-1315420 FORWARD LENGTH=328,6,23
AT1G04710,| Symbols: KAT1  PKT4 | peroxisomal 3-ketoacyl-CoA thiolase  4 | chr1:1321941-1324556 FORWARD LENGTH=443,2,17.22
AT1G04710,| Symbols: KAT1  PKT4 | peroxisomal 3-ketoacyl-CoA thiolase  4 | chr1:1321941-1324556 FORWARD LENGTH=443,2,18.942
AT1G04710,| Symbols: KAT1  PKT4 | peroxisomal 3-ketoacyl-CoA thiolase  4 | chr1:1321941-1324556 FORWARD LENGTH=443,2,19.803
AT1G04710,| Symbols: KAT1  PKT4 | peroxisomal 3-ketoacyl-CoA thiolase  4 | chr1:1321941-1324556 FORWARD LENGTH=443,6,16
AT1G04710,| Symbols: KAT1  PKT4 | peroxisomal 3-ketoacyl-CoA thiolase  4 | chr1:1321941-1324556 FORWARD LENGTH=443,6,20
AT1G04710,| Symbols: KAT1  PKT4 | peroxisomal 3-ketoacyl-CoA thiolase  4 | chr1:1321941-1324556 FORWARD LENGTH=443,6,17
AT1G04750,| Symbols: VAMP7B  VAMP721  ATVAMP721  AT VAMP7B | vesicle-associated membrane protein 721 | chr1:1331857-1333426 REVERSE LENGTH=219,2,6.888
AT1G04750,| Symbols: VAMP7B  VAMP721  ATVAMP721  AT VAMP7B | vesicle-associated membrane protein 721 | chr1:1331857-1333426 REVERSE LENGTH=219,2,5.166
AT1G04750,| Symbols: VAMP7B  VAMP721  ATVAMP721  AT VAMP7B | vesicle-associated membrane protein 721 | chr1:1331857-1333426 REVERSE LENGTH=219,2,7.749
AT1G04750,| Symbols: VAMP7B  VAMP721  ATVAMP721  AT VAMP7B | vesicle-associated membrane protein 721 | chr1:1331857-1333426 REVERSE LENGTH=219,6,7
AT1G04750,| Symbols: VAMP7B  VAMP721  ATVAMP721  AT VAMP7B | vesicle-associated membrane protein 721 | chr1:1331857-1333426 REVERSE LENGTH=219,6,6
AT1G04750,| Symbols: VAMP7B  VAMP721  ATVAMP721  AT VAMP7B | vesicle-associated membrane protein 721 | chr1:1331857-1333426 REVERSE LENGTH=219,6,8
AT1G04980,| Symbols: ATPDIL2-2  ATPDI10  PDI10  PDIL2-2 | PDI-like 2-2 | chr1:1413869-1416120 REVERSE LENGTH=447,2,16.359
AT1G04980,| Symbols: ATPDIL2-2  ATPDI10  PDI10  PDIL2-2 | PDI-like 2-2 | chr1:1413869-1416120 REVERSE LENGTH=447,2,17.22
AT1G04980,| Symbols: ATPDIL2-2  ATPDI10  PDI10  PDIL2-2 | PDI-like 2-2 | chr1:1413869-1416120 REVERSE LENGTH=447,2,17.22
AT1G04980,| Symbols: ATPDIL2-2  ATPDI10  PDI10  PDIL2-2 | PDI-like 2-2 | chr1:1413869-1416120 REVERSE LENGTH=447,6,10
AT1G04980,| Symbols: ATPDIL2-2  ATPDI10  PDI10  PDIL2-2 | PDI-like 2-2 | chr1:1413869-1416120 REVERSE LENGTH=447,6,14
AT1G04980,| Symbols: ATPDIL2-2  ATPDI10  PDI10  PDIL2-2 | PDI-like 2-2 | chr1:1413869-1416120 REVERSE LENGTH=447,6,15
AT1G05350,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:1560891-1564005 REVERSE LENGTH=431,2,14.637
AT1G05350,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:1560891-1564005 REVERSE LENGTH=431,2,14.637
AT1G05350,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:1560891-1564005 REVERSE LENGTH=431,2,14.637
AT1G05350,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:1560891-1564005 REVERSE LENGTH=431,6,12
AT1G05350,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:1560891-1564005 REVERSE LENGTH=431,6,16
AT1G05350,| Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:1560891-1564005 REVERSE LENGTH=431,6,12
AT1G05510,| Symbols:  | Protein of unknown function (DUF1264) | chr1:1629527-1630690 FORWARD LENGTH=241,2,211.806
AT1G05510,| Symbols:  | Protein of unknown function (DUF1264) | chr1:1629527-1630690 FORWARD LENGTH=241,2,271.215
AT1G05510,| Symbols:  | Protein of unknown function (DUF1264) | chr1:1629527-1630690 FORWARD LENGTH=241,2,198.891
AT1G05510,| Symbols:  | Protein of unknown function (DUF1264) | chr1:1629527-1630690 FORWARD LENGTH=241,6,233
AT1G05510,| Symbols:  | Protein of unknown function (DUF1264) | chr1:1629527-1630690 FORWARD LENGTH=241,6,262
AT1G05510,| Symbols:  | Protein of unknown function (DUF1264) | chr1:1629527-1630690 FORWARD LENGTH=241,6,268
AT1G05520,| Symbols:  | Sec23/Sec24 protein transport family protein | chr1:1631126-1635703 REVERSE LENGTH=783,2,12.054
AT1G05520,| Symbols:  | Sec23/Sec24 protein transport family protein | chr1:1631126-1635703 REVERSE LENGTH=783,2,10.332
AT1G05520,| Symbols:  | Sec23/Sec24 protein transport family protein | chr1:1631126-1635703 REVERSE LENGTH=783,2,11.193
AT1G05520,| Symbols:  | Sec23/Sec24 protein transport family protein | chr1:1631126-1635703 REVERSE LENGTH=783,6,8
